interp_r,interp_d,interp_mp1,interp_mp2
0,3.05744,9.172318,15.2872
10,3.057471,9.172355,15.28724
20,3.057495,9.172386,15.28727
30,3.057529,9.172413,15.2873
40,3.057582,9.172438,15.28733
50,3.057646,9.172462,15.28736
60,3.057728,9.172486,15.28738
70,3.057821,9.172515,15.2874
80,3.057932,9.172547,15.28743
90,3.058054,9.172587,15.28745
100,3.058195,9.172635,15.28748
110,3.058347,9.172689,15.2875
120,3.058516,9.172747,15.28753
130,3.058697,9.172807,15.28757
140,3.058896,9.17287,15.2876
150,3.059105,9.172939,15.28765
160,3.059333,9.173017,15.28769
170,3.059572,9.173099,15.28774
180,3.059829,9.173185,15.2878
190,3.060097,9.173274,15.28785
200,3.060384,9.173366,15.28791
210,3.060681,9.173464,15.28797
220,3.060997,9.17357,15.28803
230,3.061323,9.173682,15.28809
240,3.061667,9.173798,15.28816
250,3.062022,9.173915,15.28823
260,3.062397,9.174036,15.28831
270,3.062781,9.174164,15.28839
280,3.063184,9.174299,15.28847
290,3.063597,9.17444,15.28855
300,3.06403,9.174585,15.28864
310,3.064472,9.174732,15.28873
320,3.064929,9.174883,15.28882
330,3.065405,9.175039,15.28891
340,3.06589,9.175204,15.28901
350,3.066396,9.175374,15.28911
360,3.06691,9.175549,15.28921
370,3.06744,9.175724,15.28932
380,3.067988,9.175903,15.28943
390,3.068546,9.176089,15.28955
400,3.06912,9.176283,15.28966
410,3.069711,9.176483,15.28978
420,3.070313,9.176687,15.2899
430,3.070934,9.176892,15.29002
440,3.071564,9.177101,15.29014
450,3.072209,9.177316,15.29027
460,3.072874,9.177538,15.29041
470,3.073547,9.177767,15.29054
480,3.074236,9.177999,15.29069
490,3.074939,9.178234,15.29083
500,3.07566,9.178472,15.29098
510,3.076391,9.178716,15.29112
520,3.077137,9.178967,15.29127
530,3.077899,9.179225,15.29142
540,3.078677,9.179486,15.29157
550,3.079465,9.17975,15.29173
560,3.080269,9.180018,15.2919
570,3.081087,9.180292,15.29206
580,3.081923,9.180573,15.29223
590,3.082769,9.18086,15.29241
600,3.08363,9.18115,15.29258
610,3.084505,9.181443,15.29276
620,3.085394,9.18174,15.29293
630,3.086298,9.182043,15.29311
640,3.087216,9.182353,15.29329
650,3.088151,9.18267,15.29348
660,3.089097,9.182989,15.29368
670,3.090057,9.183311,15.29387
680,3.091032,9.183636,15.29407
690,3.09202,9.183968,15.29427
700,3.093023,9.184307,15.29448
710,3.09404,9.184653,15.29468
720,3.095071,9.185002,15.29489
730,3.096117,9.185353,15.2951
740,3.097176,9.185707,15.29531
750,3.098249,9.186068,15.29553
760,3.099337,9.186437,15.29575
770,3.100438,9.186811,15.29597
780,3.101554,9.18719,15.2962
790,3.102683,9.18757,15.29643
800,3.103827,9.187953,15.29667
810,3.104989,9.188343,15.2969
820,3.106155,9.188742,15.29714
830,3.107341,9.189146,15.29737
840,3.108541,9.189553,15.29762
850,3.109755,9.189961,15.29786
860,3.110982,9.190372,15.29811
870,3.112225,9.190791,15.29836
880,3.113476,9.191218,15.29862
890,3.114744,9.191653,15.29888
900,3.116028,9.192091,15.29914
910,3.117325,9.19253,15.29941
