interp_r,interp_d,interp_mp1,interp_mp2
0,3.444475,10.33342,17.22236
10,3.444501,10.33346,17.2224
20,3.444522,10.33348,17.22243
30,3.444551,10.3335,17.22246
40,3.444597,10.33352,17.22248
50,3.444652,10.33354,17.2225
60,3.444724,10.33357,17.22252
70,3.444804,10.33359,17.22255
80,3.444901,10.33362,17.22257
90,3.445006,10.33365,17.22259
100,3.445127,10.3337,17.22261
110,3.445264,10.33374,17.22263
120,3.445405,10.33379,17.22266
130,3.445566,10.33384,17.22269
140,3.445734,10.3339,17.22272
150,3.44592,10.33396,17.22276
160,3.446112,10.33402,17.2228
170,3.446324,10.3341,17.22284
180,3.446541,10.33417,17.22289
190,3.446778,10.33425,17.22294
200,3.447021,10.33433,17.22299
210,3.447283,10.33441,17.22304
220,3.447552,10.3345,17.22309
230,3.447839,10.3346,17.22314
240,3.448133,10.3347,17.2232
250,3.44844,10.3348,17.22326
260,3.448764,10.33491,17.22333
270,3.449096,10.33502,17.2234
280,3.449445,10.33513,17.22347
290,3.449803,10.33525,17.22354
300,3.450177,10.33538,17.22362
310,3.45056,10.33552,17.22369
320,3.450959,10.33565,17.22377
330,3.451367,10.33579,17.22385
340,3.451791,10.33593,17.22393
350,3.452224,10.33607,17.22402
360,3.452672,10.33622,17.22411
370,3.453133,10.33637,17.2242
380,3.453604,10.33653,17.2243
390,3.45409,10.3367,17.2244
400,3.454587,10.33686,17.2245
410,3.455098,10.33703,17.2246
420,3.45562,10.3372,17.22471
430,3.456155,10.33738,17.22481
440,3.456703,10.33757,17.22492
450,3.457263,10.33776,17.22503
460,3.457836,10.33795,17.22514
470,3.458421,10.33814,17.22526
480,3.459018,10.33834,17.22538
490,3.459633,10.33854,17.22551
500,3.460253,10.33876,17.22564
510,3.460887,10.33897,17.22577
520,3.461538,10.33919,17.2259
530,3.462195,10.3394,17.22604
540,3.462867,10.33962,17.22618
550,3.463554,10.33986,17.22632
560,3.46425,10.34009,17.22646
570,3.464958,10.34033,17.22659
580,3.465683,10.34057,17.22673
590,3.466416,10.34081,17.22688
600,3.467163,10.34106,17.22703
610,3.467925,10.34132,17.22718
620,3.468695,10.34158,17.22734
630,3.469478,10.34185,17.2275
640,3.470273,10.34211,17.22767
650,3.471084,10.34238,17.22783
