interp_r,interp_d,interp_mp1,interp_mp2,interp_sub
0,3.444491,10.33347,17.22245,7.649437386
10,3.444505,10.33349,17.22247,7.649311168
20,3.444521,10.3335,17.22248,7.649178091
30,3.444552,10.33351,17.2225,7.649038155
40,3.444601,10.33353,17.22251,7.648891361
50,3.444655,10.33354,17.22252,7.648737708
60,3.444722,10.33356,17.22254,7.648577196
70,3.444804,10.33359,17.22255,7.648409825
80,3.444902,10.33362,17.22257,7.648235596
90,3.445008,10.33366,17.22259,7.648054508
100,3.445126,10.3337,17.22261,7.647866561
110,3.445263,10.33375,17.22263,7.647671756
120,3.445406,10.3338,17.22266,7.647470092
130,3.445563,10.33385,17.22269,7.647261569
140,3.445732,10.33391,17.22272,7.647046187
150,3.445919,10.33397,17.22276,7.646823947
160,3.446112,10.33403,17.2228,7.646594848
170,3.44632,10.3341,17.22285,7.64635889
180,3.446545,10.33417,17.2229,7.646116074
190,3.446776,10.33424,17.22295,7.645866399
200,3.447021,10.33432,17.223,7.645609865
210,3.447279,10.33441,17.22305,7.645346472
220,3.447553,10.33451,17.22311,7.645076221
230,3.447836,10.3346,17.22316,7.644799111
240,3.448132,10.33471,17.22322,7.644515142
250,3.44844,10.33481,17.22327,7.644224315
260,3.448765,10.33492,17.22334,7.643926629
270,3.449098,10.33502,17.2234,7.643622084
280,3.449444,10.33514,17.22347,7.64331068
290,3.449803,10.33525,17.22354,7.642992418
300,3.450178,10.33538,17.22361,7.642667297
310,3.450561,10.33551,17.22369,7.642335317
320,3.450958,10.33565,17.22377,7.641996479
330,3.451367,10.33579,17.22385,7.641650781
340,3.451792,10.33593,17.22393,7.641298225
350,3.452225,10.33607,17.22402,7.640938811
360,3.452672,10.33622,17.22411,7.640572537
370,3.453132,10.33637,17.22421,7.640199405
380,3.453604,10.33653,17.22431,7.639819415
390,3.454091,10.33669,17.22441,7.639432565
400,3.454588,10.33685,17.22451,7.639038857
410,3.455098,10.33702,17.22461,7.63863829
420,3.45562,10.3372,17.22472,7.638230864
430,3.456155,10.33738,17.22482,7.63781658
440,3.456703,10.33757,17.22493,7.637395437
450,3.457263,10.33776,17.22504,7.636967435
460,3.457836,10.33795,17.22515,7.636532575
470,3.458421,10.33814,17.22527,7.636090855
480,3.459019,10.33834,17.22538,7.635642278
490,3.45963,10.33854,17.22551,7.635186841
500,3.460252,10.33875,17.22563,7.634724546
510,3.460892,10.33896,17.22576,7.634255391
520,3.461538,10.33918,17.2259,7.633779379
530,3.462197,10.33941,17.22604,7.633296507
540,3.462869,10.33963,17.22618,7.632806777
550,3.463553,10.33986,17.22632,7.632310188
560,3.464249,10.34009,17.22646,7.63180674
570,3.464959,10.34033,17.2266,7.631296434
580,3.465681,10.34057,17.22674,7.630779269
590,3.466415,10.34081,17.22688,7.630255245
600,3.467162,10.34106,17.22703,7.629724362
610,3.467921,10.34132,17.22718,7.629186621
620,3.468693,10.34157,17.22733,7.628642021
630,3.46948,10.34184,17.22749,7.628090562
640,3.470275,10.34211,17.22765,7.627532245
650,3.471084,10.34238,17.22781,7.626967069
660,3.471905,10.34266,17.22798,7.626395034
670,3.472738,10.34294,17.22814,7.625816141
680,3.473584,10.34322,17.22831,7.625230388
690,3.474441,10.34351,17.22849,7.624637777
700,3.475312,10.3438,17.22866,7.624038308
710,3.476194,10.34409,17.22884,7.623431979
720,3.477089,10.34439,17.22903,7.622818792
730,3.477996,10.3447,17.22921,7.622198746
740,3.478916,10.34501,17.2294,7.621571842
750,3.479848,10.34532,17.22959,7.620938078
760,3.480792,10.34564,17.22978,7.620297456
770,3.481749,10.34597,17.22997,7.619649976
780,3.482718,10.34629,17.23017,7.618995636
790,3.483699,10.34662,17.23036,7.618334438
800,3.484692,10.34696,17.23056,7.617666381
810,3.485698,10.34729,17.23076,7.616991466
820,3.486715,10.34764,17.23096,7.616309691
830,3.487742,10.34798,17.23117,7.615621058
840,3.488784,10.34833,17.23138,7.614925566
850,3.489839,10.34869,17.2316,7.614223216
860,3.490905,10.34904,17.23182,7.613514007
870,3.491983,10.34941,17.23204,7.612797939
880,3.493073,10.34978,17.23227,7.612075012
890,3.494175,10.35015,17.23249,7.611345227
900,3.495291,10.35053,17.23272,7.610608583
910,3.496419,10.35091,17.23295,7.60986508
920,3.497559,10.3513,17.23318,7.609114719
930,3.498706,10.35168,17.23341,7.608357498
940,3.49987,10.35208,17.23365,7.60759342
950,3.501045,10.35247,17.23388,7.606822482
960,3.502234,10.35287,17.23412,7.606044686
970,3.503429,10.35328,17.23436,7.605260031
980,3.504641,10.35369,17.23461,7.604468517
990,3.505865,10.3541,17.23486,7.603670144
1000,3.507098,10.35452,17.23511,7.602864913
1010,3.508345,10.35495,17.23536,7.602052823
1020,3.509604,10.35537,17.23561,7.601233874
1030,3.510874,10.35581,17.23587,7.600408067
1040,3.51216,10.35624,17.23613,7.599575401
1050,3.513452,10.35668,17.2364,7.598735876
1060,3.51476,10.35712,17.23667,7.597889493
1070,3.516081,10.35757,17.23694,7.597036251
1080,3.517408,10.35802,17.23721,7.59617615
1090,3.518752,10.35847,17.23749,7.59530919
1100,3.520104,10.35893,17.23777,7.594435372
1110,3.521471,10.3594,17.23804,7.593554694
1120,3.522847,10.35986,17.23833,7.592667159
1130,3.524238,10.36034,17.23861,7.591772764
1140,3.525638,10.36081,17.23889,7.590871511
1150,3.527051,10.36129,17.23918,7.589963399
1160,3.528476,10.36178,17.23947,7.589048428
1170,3.529917,10.36227,17.23976,7.588126599
1180,3.531362,10.36277,17.24006,7.587197911
1190,3.53282,10.36326,17.24036,7.586262364
1200,3.534294,10.36376,17.24066,7.585319958
1210,3.535777,10.36427,17.24096,7.584370694
1220,3.537273,10.36478,17.24127,7.583414571
1230,3.538779,10.36529,17.24157,7.582451589
1240,3.540297,10.36581,17.24189,7.581481749
1250,3.541827,10.36633,17.2422,7.58050505
1260,3.543368,10.36686,17.24252,7.579521492
1270,3.544921,10.36739,17.24284,7.578531075
1280,3.546486,10.36793,17.24317,7.5775338
1290,3.548066,10.36847,17.2435,7.576529666
1300,3.549653,10.36901,17.24382,7.575518673
1310,3.551251,10.36956,17.24415,7.574500822
