interp_r,interp_d,interp_mp1,interp_mp2
0,3.175706,9.527117,15.87853
10,3.175792,9.527236,15.87865
20,3.175812,9.52732,15.87876
30,3.175828,9.527375,15.87884
40,3.175879,9.527409,15.87891
50,3.175942,9.527428,15.87896
60,3.176015,9.527437,15.879
70,3.176105,9.527446,15.87902
80,3.176209,9.527458,15.87904
90,3.176329,9.527483,15.87905
100,3.176455,9.527524,15.87906
110,3.1766,9.527576,15.87907
120,3.176761,9.527637,15.87908
130,3.176928,9.527699,15.87909
140,3.177114,9.527761,15.87911
150,3.177316,9.527826,15.87914
160,3.177524,9.527894,15.87918
170,3.177752,9.527966,15.87922
180,3.177994,9.528044,15.87928
190,3.178244,9.528129,15.87933
200,3.178514,9.528219,15.87939
210,3.178797,9.528315,15.87945
220,3.179088,9.528414,15.87952
230,3.179398,9.528518,15.87958
240,3.179724,9.528627,15.87964
250,3.180055,9.528744,15.87971
260,3.180406,9.528865,15.87978
270,3.180767,9.528987,15.87985
280,3.181145,9.529109,15.87992
290,3.181538,9.529234,15.87999
300,3.181939,9.529364,15.88007
310,3.182358,9.529502,15.88016
320,3.182793,9.529648,15.88024
330,3.183233,9.5298,15.88034
340,3.183695,9.529958,15.88043
350,3.184164,9.530119,15.88053
360,3.184651,9.530282,15.88062
370,3.185155,9.530446,15.88072
380,3.185663,9.530613,15.88083
390,3.186193,9.530785,15.88094
400,3.18673,9.530964,15.88105
410,3.187286,9.531151,15.88116
420,3.187851,9.531343,15.88128
430,3.188434,9.531542,15.8814
440,3.189026,9.531743,15.88152
450,3.189637,9.531947,15.88164
460,3.190256,9.532152,15.88177
470,3.190894,9.532359,15.88189
480,3.19154,9.532573,15.88201
490,3.192205,9.532794,15.88214
500,3.192878,9.533023,15.88227
510,3.19357,9.533257,15.88241
520,3.194271,9.533497,15.88255
530,3.19499,9.533739,15.8827
540,3.195717,9.533983,15.88285
550,3.196464,9.534229,15.883
560,3.197218,9.534478,15.88316
570,3.197992,9.534733,15.88332
580,3.198772,9.534995,15.88348
590,3.199568,9.535265,15.88364
600,3.200381,9.535541,15.8838
610,3.201203,9.535822,15.88397
620,3.202044,9.536106,15.88413
630,3.202892,9.536392,15.8843
640,3.203755,9.536679,15.88447
650,3.204636,9.536969,15.88464
660,3.205524,9.537265,15.88482
670,3.206427,9.537568,15.885
680,3.207349,9.537878,15.88519
690,3.208277,9.538195,15.88538
700,3.20922,9.538517,15.88557
710,3.210176,9.538843,15.88577
720,3.211151,9.53917,15.88597
730,3.212133,9.539498,15.88617
740,3.213129,9.539828,15.88637
750,3.214139,9.540165,15.88658
760,3.215166,9.54051,15.88678
770,3.216202,9.540862,15.88699
780,3.217251,9.541218,15.8872
790,3.218314,9.541574,15.88741
800,3.21939,9.541934,15.88762
810,3.220484,9.542299,15.88784
820,3.221586,9.542671,15.88807
830,3.222701,9.54305,15.88829
840,3.22383,9.543434,15.88853
850,3.224971,9.543824,15.88876
860,3.226127,9.544217,15.889
870,3.227295,9.544613,15.88924
880,3.228476,9.545011,15.88948
890,3.229671,9.545411,15.88973
900,3.230878,9.545816,15.88997
910,3.232099,9.546229,15.89022
920,3.233333,9.546648,15.89046
930,3.23458,9.547074,15.89071
940,3.235839,9.547506,15.89097
950,3.237112,9.547941,15.89122
960,3.238398,9.548378,15.89148
970,3.239697,9.548815,15.89175
980,3.241009,9.549254,15.89202
990,3.242334,9.549701,15.89229
1000,3.243671,9.550156,15.89257
1010,3.245023,9.550618,15.89285
1020,3.246386,9.551084,15.89313
1030,3.247764,9.55155,15.89341
1040,3.249148,9.552018,15.8937
1050,3.250551,9.552491,15.89399
1060,3.251966,9.552972,15.89427
1070,3.253394,9.553459,15.89456
1080,3.254831,9.553954,15.89485
1090,3.256284,9.554455,15.89515
1100,3.257751,9.554959,15.89544
1110,3.259231,9.555465,15.89574
1120,3.260719,9.555969,15.89605
1130,3.262223,9.556477,15.89636
1140,3.263741,9.556991,15.89667
1150,3.265267,9.557514,15.89699
1160,3.26681,9.558045,15.89731
1170,3.268367,9.558578,15.89764
1180,3.26993,9.559112,15.89796
1190,3.271511,9.559648,15.89829
1200,3.273101,9.56019,15.89862
1210,3.274707,9.560741,15.89894
1220,3.276322,9.561298,15.89927
1230,3.277953,9.561859,15.8996
1240,3.279593,9.56242,15.89994
1250,3.28125,9.562984,15.90027
1260,3.282915,9.563553,15.90062
1270,3.284596,9.564131,15.90097
1280,3.286286,9.564714,15.90132
1290,3.287989,9.565302,15.90167
1300,3.289708,9.56589,15.90203
1310,3.291435,9.566482,15.90239
1320,3.293175,9.56708,15.90275
1330,3.29493,9.567685,15.9031
1340,3.296695,9.568296,15.90347
1350,3.298472,9.568911,15.90383
1360,3.300266,9.569526,15.9042
1370,3.302066,9.570144,15.90458
1380,3.30388,9.570768,15.90496
1390,3.305706,9.571401,15.90534
1400,3.307545,9.57204,15.90572
1410,3.309395,9.572681,15.90611
1420,3.311262,9.573324,15.9065
1430,3.313137,9.57397,15.9069
1440,3.315023,9.574621,15.90729
1450,3.316923,9.57528,15.90769
1460,3.318834,9.575946,15.90808
1470,3.320757,9.576614,15.90848
1480,3.322693,9.577284,15.90888
1490,3.324641,9.577956,15.90929
1500,3.3266,9.578635,15.90969
1510,3.328572,9.579322,15.9101
1520,3.330555,9.580014,15.91052
1530,3.332551,9.58071,15.91094
1540,3.334556,9.581407,15.91136
1550,3.336575,9.582107,15.91179
1560,3.338606,9.582812,15.91222
1570,3.340649,9.583526,15.91265
1580,3.342705,9.584246,15.91309
1590,3.344772,9.584969,15.91353
1600,3.346847,9.585692,15.91396
1610,3.348938,9.586419,15.9144
1620,3.35104,9.587152,15.91484
1630,3.353151,9.587893,15.91528
1640,3.355277,9.588641,15.91572
1650,3.357414,9.589391,15.91617
1660,3.35956,9.590141,15.91662
1670,3.361721,9.590895,15.91708
1680,3.36389,9.591654,15.91754
1690,3.366074,9.592422,15.91801
1700,3.36827,9.593197,15.91847
1710,3.370474,9.593975,15.91894
1720,3.372693,9.594753,15.91941
1730,3.37492,9.595533,15.91987
1740,3.37716,9.596317,15.92035
1750,3.379412,9.597107,15.92082
1760,3.381675,9.597902,15.9213
1770,3.38395,9.598704,15.92178
1780,3.386235,9.599513,15.92227
1790,3.388531,9.600327,15.92276
1800,3.390841,9.601144,15.92326
1810,3.39316,9.601961,15.92376
1820,3.39549,9.602782,15.92426
1830,3.397831,9.60361,15.92476
1840,3.400185,9.604446,15.92527
1850,3.40255,9.605289,15.92577
1860,3.404925,9.606133,15.92628
1870,3.407312,9.606979,15.92678
1880,3.409709,9.607826,15.92729
1890,3.412118,9.608677,15.9278
1900,3.414538,9.609533,15.92832
1910,3.416969,9.610395,15.92884
1920,3.419411,9.611265,15.92937
1930,3.421864,9.612142,15.9299
1940,3.424328,9.613024,15.93043
1950,3.426803,9.613909,15.93097
1960,3.429289,9.614795,15.9315
1970,3.431786,9.615683,15.93203
1980,3.434293,9.616573,15.93257
1990,3.436811,9.61747,15.93311
2000,3.43934,9.618372,15.93365
2010,3.44188,9.619282,15.9342
2020,3.444431,9.620199,15.93475
2030,3.446993,9.621121,15.93531
2040,3.449565,9.622046,15.93587
2050,3.452148,9.622972,15.93643
2060,3.454742,9.6239,15.93699
2070,3.457347,9.624832,15.93755
2080,3.459962,9.62577,15.93812
2090,3.462588,9.626713,15.93868
2100,3.465224,9.62766,15.93925
2110,3.467871,9.628611,15.93983
2120,3.470528,9.629566,15.94041
2130,3.473196,9.630528,15.941
2140,3.475874,9.631498,15.94158
2150,3.478563,9.632473,15.94217
2160,3.481262,9.633451,15.94276
2170,3.483972,9.634432,15.94335
2180,3.486692,9.635414,15.94394
2190,3.489423,9.6364,15.94453
2200,3.492164,9.637391,15.94513
2210,3.494915,9.638387,15.94573
2220,3.497676,9.639387,15.94634
2230,3.500448,9.640392,15.94695
2240,3.50323,9.641402,15.94757
2250,3.506022,9.642418,15.94818
2260,3.508824,9.64344,15.9488
2270,3.511637,9.644468,15.94941
2280,3.51446,9.645499,15.95003
2290,3.517292,9.646531,15.95065
