interp_r,interp_d,interp_mp1,interp_mp2
0,2.904966,8.714904,14.52482
10,2.90498,8.714913,14.52484
20,2.905004,8.714926,14.52485
30,2.905042,8.714941,14.52487
40,2.905096,8.71496,14.52488
50,2.905164,8.714984,14.5249
60,2.905247,8.715012,14.52492
70,2.905347,8.715044,14.52494
80,2.905462,8.715082,14.52497
90,2.905591,8.715125,14.52499
100,2.905736,8.715174,14.52502
110,2.905897,8.715228,14.52505
120,2.906072,8.715287,14.52509
130,2.906264,8.71535,14.52512
140,2.906472,8.715419,14.52516
150,2.906692,8.715491,14.52521
160,2.906931,8.715569,14.52526
170,2.907181,8.715653,14.52531
180,2.907451,8.715742,14.52536
190,2.907731,8.715837,14.52542
200,2.908027,8.715937,14.52548
210,2.908342,8.716042,14.52554
220,2.908669,8.716151,14.52561
230,2.909011,8.716266,14.52567
240,2.909371,8.716385,14.52575
250,2.909744,8.71651,14.52582
260,2.910134,8.71664,14.5259
270,2.910537,8.716774,14.52598
280,2.910956,8.716914,14.52606
290,2.911395,8.717058,14.52615
300,2.911842,8.717209,14.52624
310,2.912306,8.717364,14.52633
320,2.912788,8.717525,14.52643
330,2.913282,8.717691,14.52653
340,2.913791,8.717862,14.52663
350,2.914319,8.718037,14.52674
360,2.914858,8.718217,14.52685
370,2.915413,8.718402,14.52696
380,2.915984,8.718594,14.52707
390,2.916573,8.718791,14.52719
400,2.917172,8.718995,14.52731
410,2.917788,8.719203,14.52743
420,2.918418,8.719416,14.52756
430,2.919066,8.71963,14.52769
440,2.919727,8.71985,14.52782
450,2.920403,8.720076,14.52796
460,2.921094,8.720309,14.5281
470,2.921806,8.72055,14.52824
480,2.922525,8.720793,14.52838
490,2.92326,8.721038,14.52853
500,2.924011,8.721287,14.52868
510,2.924777,8.721542,14.52884
520,2.925558,8.721807,14.52899
530,2.926354,8.722078,14.52916
540,2.92717,8.722353,14.52932
550,2.927995,8.72263,14.52949
560,2.928835,8.722908,14.52966
570,2.92969,8.723192,14.52983
580,2.930561,8.723482,14.53
590,2.931446,8.723779,14.53018
600,2.932349,8.724082,14.53036
610,2.933264,8.724391,14.53055
620,2.934194,8.724706,14.53073
630,2.935139,8.725025,14.53092
640,2.936099,8.725348,14.53112
650,2.937075,8.725675,14.53132
660,2.938065,8.726007,14.53152
670,2.939069,8.726343,14.53173
680,2.940088,8.726686,14.53193
690,2.941122,8.727034,14.53215
700,2.942174,8.727388,14.53236
710,2.943237,8.727749,14.53257
720,2.944311,8.728113,14.53279
730,2.945404,8.728481,14.53301
740,2.946512,8.728853,14.53323
750,2.947636,8.729231,14.53346
760,2.948773,8.729615,14.53369
770,2.949922,8.730005,14.53393
780,2.951088,8.730401,14.53417
790,2.95227,8.730801,14.53441
800,2.953466,8.731204,14.53465
810,2.954673,8.731611,14.5349
820,2.955898,8.732023,14.53515
830,2.957138,8.732442,14.53539
840,2.958388,8.732867,14.53565
850,2.959657,8.733301,14.5359
860,2.960941,8.733741,14.53617
870,2.962235,8.734184,14.53644
880,2.963547,8.734629,14.53671
890,2.964875,8.735074,14.53698
900,2.966212,8.735525,14.53726
910,2.967568,8.735982,14.53753
920,2.968933,8.736445,14.53781
930,2.970319,8.736917,14.53809
940,2.971713,8.737394,14.53837
950,2.973128,8.737878,14.53865
960,2.97455,8.738365,14.53894
970,2.975988,8.738855,14.53924
980,2.977444,8.739347,14.53953
990,2.978911,8.739845,14.53983
1000,2.980397,8.740348,14.54014
1010,2.981891,8.740857,14.54045
1020,2.9834,8.741373,14.54076
1030,2.984923,8.741896,14.54107
1040,2.986465,8.742424,14.54139
1050,2.988017,8.742956,14.54171
1060,2.989583,8.743491,14.54203
1070,2.991163,8.74403,14.54236
1080,2.992761,8.744574,14.54268
1090,2.994369,8.745123,14.54301
1100,2.995991,8.745679,14.54334
1110,2.997627,8.746239,14.54368
1120,2.999278,8.746803,14.54402
1130,3.000942,8.747375,14.54436
1140,3.00262,8.747952,14.54471
1150,3.004312,8.748536,14.54506
1160,3.006018,8.749126,14.54541
1170,3.007737,8.74972,14.54577
1180,3.009471,8.750315,14.54613
1190,3.011219,8.750914,14.54649
1200,3.01298,8.751517,14.54685
1210,3.014755,8.752127,14.54722
1220,3.016544,8.752743,14.54759
1230,3.018347,8.753363,14.54796
