interp_r,interp_d,interp_mp1,interp_mp2
0,0.4884602,1.465381,2.442301
10,0.4885055,1.465396,2.44231
20,0.488641,1.465441,2.442337
30,0.4888669,1.465516,2.442383
40,0.4891829,1.465622,2.442446
50,0.489589,1.465757,2.442527
60,0.4900848,1.465923,2.442627
70,0.4906701,1.466119,2.442744
80,0.4913446,1.466345,2.44288
90,0.4921079,1.466601,2.443033
100,0.4929596,1.466887,2.443205
110,0.4938993,1.467203,2.443395
120,0.4949264,1.467549,2.443603
130,0.4960404,1.467925,2.443828
140,0.4972407,1.468331,2.444072
150,0.4985267,1.468767,2.444334
160,0.4998977,1.469233,2.444614
170,0.5013531,1.469729,2.444912
180,0.5028921,1.470254,2.445228
190,0.504514,1.47081,2.445562
200,0.5062177,1.471395,2.445915
210,0.5080028,1.47201,2.446285
220,0.5098681,1.472655,2.446673
230,0.511813,1.47333,2.447079
240,0.5138366,1.474034,2.447503
250,0.5159377,1.474768,2.447945
260,0.5181155,1.475531,2.448405
270,0.520369,1.476324,2.448883
280,0.5226973,1.477146,2.449379
290,0.5250994,1.477998,2.449893
300,0.5275742,1.478879,2.450424
310,0.5301208,1.479789,2.450974
320,0.5327381,1.480729,2.451541
330,0.5354251,1.481698,2.452127
340,0.5381806,1.482696,2.452729
350,0.5410037,1.483723,2.453351
360,0.5438933,1.484779,2.453989
370,0.5468485,1.485864,2.454646
380,0.549868,1.486978,2.45532
390,0.5529509,1.488121,2.456013
400,0.5560961,1.489293,2.456723
410,0.5593026,1.490493,2.457451
420,0.5625692,1.491722,2.458196
430,0.565895,1.49298,2.45896
440,0.5692788,1.494266,2.459741
450,0.5727198,1.49558,2.46054
460,0.5762169,1.496923,2.461356
470,0.579769,1.498294,2.46219
480,0.5833752,1.499693,2.463042
490,0.5870343,1.501121,2.463911
500,0.5907455,1.502576,2.464798
510,0.5945078,1.504059,2.465703
520,0.5983202,1.505571,2.466625
530,0.6021819,1.50711,2.467564
540,0.6060916,1.508676,2.468522
550,0.6100487,1.510271,2.469496
560,0.6140522,1.511893,2.470489
570,0.6181011,1.513542,2.471498
580,0.6221946,1.515218,2.472526
590,0.6263318,1.516922,2.47357
600,0.6305119,1.518653,2.474632
610,0.6347339,1.520411,2.475711
620,0.6389972,1.522197,2.476808
630,0.6433008,1.524009,2.477922
640,0.6476439,1.525847,2.479053
650,0.6520257,1.527712,2.480202
660,0.6564455,1.529604,2.481368
670,0.6609025,1.531523,2.482551
680,0.665396,1.533468,2.483751
690,0.6699253,1.535439,2.484969
700,0.6744894,1.537437,2.486203
710,0.6790879,1.53946,2.487455
720,0.68372,1.54151,2.488724
730,0.688385,1.543585,2.49001
740,0.6930823,1.545686,2.491313
750,0.6978111,1.547813,2.492634
760,0.702571,1.549965,2.493971
770,0.7073611,1.552143,2.495325
780,0.712181,1.554346,2.496696
790,0.7170299,1.556575,2.498084
800,0.7219075,1.558828,2.499489
810,0.726813,1.561107,2.500911
820,0.7317458,1.563411,2.502349
830,0.7367054,1.565739,2.503805
840,0.7416915,1.568092,2.505277
850,0.7467033,1.57047,2.506766
860,0.7517402,1.572872,2.508271
870,0.756802,1.575298,2.509794
880,0.761888,1.577749,2.511333
890,0.7669977,1.580224,2.512888
900,0.7721308,1.582723,2.514461
910,0.7772866,1.585246,2.516049
920,0.7824649,1.587792,2.517655
930,0.7876652,1.590363,2.519277
940,0.7928869,1.592956,2.520915
950,0.7981296,1.595574,2.52257
960,0.8033931,1.598214,2.524241
970,0.8086768,1.600878,2.525928
980,0.8139803,1.603565,2.527632
990,0.8193034,1.606275,2.529352
1000,0.8246455,1.609008,2.531089
1010,0.8300064,1.611764,2.532841
1020,0.8353856,1.614542,2.53461
1030,0.8407828,1.617342,2.536395
1040,0.8461977,1.620166,2.538197
1050,0.8516299,1.623011,2.540014
1060,0.857079,1.625879,2.541847
1070,0.8625449,1.628768,2.543697
1080,0.8680272,1.63168,2.545562
1090,0.8735253,1.634614,2.547443
1100,0.8790393,1.637569,2.549341
1110,0.8845688,1.640546,2.551254
1120,0.8901134,1.643544,2.553183
1130,0.8956727,1.646563,2.555128
1140,0.9012467,1.649604,2.557089
1150,0.906835,1.652666,2.559065
1160,0.9124374,1.655749,2.561058
1170,0.9180536,1.658853,2.563066
1180,0.9236833,1.661977,2.565089
1190,0.9293264,1.665123,2.567128
1200,0.9349824,1.668288,2.569183
1210,0.9406512,1.671475,2.571253
1220,0.9463326,1.674681,2.573339
1230,0.9520265,1.677908,2.57544
1240,0.9577324,1.681154,2.577557
1250,0.9634503,1.684421,2.579689
1260,0.9691798,1.687708,2.581836
1270,0.9749207,1.691014,2.583998
1280,0.9806731,1.69434,2.586176
1290,0.9864365,1.697685,2.588369
1300,0.9922107,1.70105,2.590577
1310,0.9979958,1.704433,2.592801
1320,1.003791,1.707837,2.595039
1330,1.009597,1.711259,2.597293
1340,1.015413,1.7147,2.599561
1350,1.021239,1.718159,2.601845
1360,1.027075,1.721638,2.604144
1370,1.03292,1.725135,2.606457
1380,1.038775,1.728651,2.608786
1390,1.044639,1.732185,2.611129
1400,1.050512,1.735737,2.613487
1410,1.056395,1.739307,2.61586
1420,1.062286,1.742895,2.618247
1430,1.068185,1.746501,2.620649
1440,1.074094,1.750125,2.623065
1450,1.080011,1.753767,2.625497
1460,1.085936,1.757426,2.627943
1470,1.091869,1.761103,2.630403
1480,1.09781,1.764797,2.632878
1490,1.103759,1.768508,2.635368
1500,1.109716,1.772237,2.637871
1510,1.11568,1.775982,2.640389
1520,1.121652,1.779744,2.642922
1530,1.127631,1.783523,2.645468
1540,1.133617,1.787319,2.648029
1550,1.139611,1.791132,2.650604
1560,1.145612,1.794961,2.653193
1570,1.151619,1.798806,2.655797
1580,1.157633,1.802668,2.658414
1590,1.163654,1.806545,2.661045
1600,1.169682,1.810439,2.663691
1610,1.175716,1.814349,2.66635
1620,1.181756,1.818275,2.669023
1630,1.187803,1.822216,2.67171
1640,1.193855,1.826173,2.674411
1650,1.199914,1.830146,2.677125
1660,1.205979,1.834134,2.679854
1670,1.21205,1.838138,2.682596
1680,1.218127,1.842157,2.685351
1690,1.224209,1.84619,2.68812
1700,1.230297,1.850239,2.690903
1710,1.23639,1.854303,2.693699
1720,1.242489,1.858382,2.696509
1730,1.248593,1.862476,2.699332
1740,1.254703,1.866584,2.702169
1750,1.260818,1.870707,2.705019
1760,1.266938,1.874844,2.707882
1770,1.273063,1.878995,2.710758
1780,1.279193,1.883161,2.713648
1790,1.285328,1.887341,2.716551
1800,1.291467,1.891536,2.719467
1810,1.297612,1.895744,2.722396
1820,1.303761,1.899966,2.725338
1830,1.309915,1.904202,2.728293
1840,1.316073,1.908451,2.731261
1850,1.322236,1.912715,2.734243
1860,1.328403,1.916992,2.737237
1870,1.334575,1.921282,2.740243
1880,1.340751,1.925586,2.743263
1890,1.346931,1.929902,2.746295
1900,1.353115,1.934232,2.74934
1910,1.359304,1.938576,2.752398
1920,1.365497,1.942932,2.755468
1930,1.371693,1.947301,2.758551
1940,1.377894,1.951682,2.761647
1950,1.384098,1.956077,2.764755
1960,1.390306,1.960484,2.767875
1970,1.396518,1.964904,2.771008
1980,1.402734,1.969337,2.774153
1990,1.408954,1.973781,2.777311
2000,1.415177,1.978238,2.780481
2010,1.421403,1.982708,2.783663
2020,1.427634,1.987189,2.786857
2030,1.433867,1.991683,2.790064
2040,1.440104,1.996188,2.793282
2050,1.446345,2.000706,2.796513
2060,1.452588,2.005235,2.799756
2070,1.458836,2.009776,2.80301
2080,1.465086,2.014328,2.806277
2090,1.47134,2.018893,2.809556
2100,1.477596,2.023468,2.812846
2110,1.483856,2.028055,2.816148
2120,1.490119,2.032654,2.819462
2130,1.496385,2.037264,2.822788
2140,1.502654,2.041885,2.826126
2150,1.508926,2.046517,2.829475
2160,1.5152,2.05116,2.832836
2170,1.521478,2.055814,2.836208
2180,1.527759,2.060479,2.839592
2190,1.534042,2.065155,2.842987
2200,1.540328,2.069842,2.846394
2210,1.546617,2.074539,2.849812
2220,1.552909,2.079247,2.853242
2230,1.559203,2.083965,2.856683
2240,1.5655,2.088694,2.860135
2250,1.571799,2.093433,2.863599
2260,1.578101,2.098183,2.867074
2270,1.584405,2.102943,2.87056
2280,1.590712,2.107713,2.874057
2290,1.597021,2.112493,2.877565
2300,1.603333,2.117283,2.881084
2310,1.609647,2.122083,2.884615
2320,1.615964,2.126893,2.888156
2330,1.622283,2.131713,2.891708
2340,1.628604,2.136543,2.895271
2350,1.634927,2.141382,2.898845
2360,1.641253,2.146231,2.90243
2370,1.647581,2.15109,2.906025
2380,1.653911,2.155958,2.909631
2390,1.660243,2.160836,2.913248
2400,1.666577,2.165722,2.916876
2410,1.672914,2.170619,2.920514
2420,1.679252,2.175524,2.924163
2430,1.685593,2.180439,2.927822
2440,1.691935,2.185363,2.931491
2450,1.69828,2.190296,2.935171
2460,1.704627,2.195238,2.938862
2470,1.710975,2.200188,2.942563
2480,1.717325,2.205148,2.946274
2490,1.723678,2.210116,2.949996
2500,1.730032,2.215094,2.953727
2510,1.736388,2.22008,2.957469
2520,1.742746,2.225074,2.961222
2530,1.749105,2.230078,2.964984
2540,1.755467,2.23509,2.968756
2550,1.76183,2.24011,2.972539
2560,1.768195,2.245138,2.976331
2570,1.774562,2.250175,2.980134
2580,1.78093,2.25522,2.983947
2590,1.7873,2.260274,2.987769
2600,1.793671,2.265336,2.991601
2610,1.800045,2.270406,2.995443
2620,1.80642,2.275484,2.999295
2630,1.812796,2.28057,3.003157
