interp_r,interp_d,interp_mp1,interp_mp2
0,1.398102,4.194305,6.990507
10,1.398118,4.194311,6.990511
20,1.398165,4.194327,6.990521
30,1.398245,4.194353,6.990537
40,1.398356,4.19439,6.99056
50,1.398498,4.194438,6.990588
60,1.398673,4.194496,6.990623
70,1.398879,4.194564,6.990664
80,1.399117,4.194643,6.990712
90,1.399386,4.194734,6.990766
100,1.399688,4.194834,6.990826
110,1.40002,4.194945,6.990893
120,1.400385,4.195067,6.990965
130,1.400781,4.195199,6.991045
140,1.401208,4.195342,6.99113
150,1.401667,4.195495,6.991222
160,1.402158,4.195659,6.991321
170,1.40268,4.195833,6.991426
180,1.403233,4.196018,6.991537
190,1.403818,4.196214,6.991654
200,1.404434,4.19642,6.991778
210,1.405081,4.196636,6.991908
220,1.40576,4.196864,6.992044
230,1.40647,4.197102,6.992187
240,1.407211,4.197351,6.992336
250,1.407983,4.197609,6.992492
260,1.408787,4.197879,6.992653
270,1.409621,4.198159,6.992822
280,1.410486,4.198449,6.992996
290,1.411382,4.19875,6.993177
300,1.412309,4.199062,6.993364
310,1.413267,4.199385,6.993558
320,1.414256,4.199718,6.993757
330,1.415275,4.200061,6.993963
340,1.416325,4.200415,6.994175
350,1.417405,4.200779,6.994394
360,1.418515,4.201154,6.994619
370,1.419657,4.201539,6.994851
380,1.420828,4.201935,6.995089
390,1.42203,4.202342,6.995333
400,1.423262,4.202759,6.995584
410,1.424523,4.203186,6.995841
420,1.425815,4.203624,6.996104
430,1.427137,4.204073,6.996373
440,1.428489,4.204532,6.996649
450,1.42987,4.205001,6.996932
460,1.431281,4.205482,6.99722
470,1.432722,4.205972,6.997515
480,1.434192,4.206473,6.997817
490,1.435692,4.206985,6.998124
500,1.43722,4.207507,6.998438
510,1.438779,4.208039,6.998758
520,1.440366,4.208582,6.999084
530,1.441982,4.209136,6.999417
540,1.443627,4.2097,6.999756
550,1.445301,4.210274,7.000101
560,1.447003,4.210858,7.000453
570,1.448735,4.211453,7.000811
580,1.450495,4.212059,7.001175
590,1.452283,4.212675,7.001546
600,1.454099,4.213302,7.001924
610,1.455944,4.213939,7.002307
620,1.457817,4.214586,7.002697
630,1.459718,4.215244,7.003092
640,1.461646,4.215912,7.003494
650,1.463603,4.216591,7.003903
660,1.465587,4.21728,7.004318
670,1.467599,4.21798,7.004739
680,1.469638,4.21869,7.005166
690,1.471704,4.21941,7.0056
700,1.473798,4.220141,7.00604
710,1.475919,4.220882,7.006486
720,1.478066,4.221633,7.006939
730,1.480241,4.222394,7.007399
740,1.482442,4.223167,7.007864
750,1.48467,4.223949,7.008336
760,1.486924,4.224742,7.008813
770,1.489205,4.225546,7.009298
780,1.491512,4.226359,7.009789
790,1.493845,4.227183,7.010285
800,1.496205,4.228018,7.010788
810,1.49859,4.228863,7.011298
820,1.501001,4.229718,7.011814
830,1.503437,4.230583,7.012335
840,1.505899,4.231459,7.012864
850,1.508386,4.232345,7.013398
860,1.510899,4.233241,7.013939
870,1.513437,4.234147,7.014486
880,1.516,4.235064,7.01504
890,1.518588,4.235991,7.0156
900,1.5212,4.236928,7.016166
910,1.523837,4.237875,7.016738
920,1.526499,4.238833,7.017316
930,1.529185,4.239801,7.0179
940,1.531895,4.24078,7.018492
950,1.53463,4.241768,7.019089
960,1.537388,4.242767,7.019692
970,1.54017,4.243776,7.020302
980,1.542976,4.244795,7.020919
990,1.545806,4.245824,7.021541
1000,1.548659,4.246864,7.02217
