interp_r,interp_d,interp_mp1,interp_mp2
0,1.264924,3.794774,6.324621
10,1.264941,3.794779,6.324624
20,1.264994,3.794795,6.324634
30,1.265082,3.794824,6.324651
40,1.265204,3.794865,6.324675
50,1.265362,3.794917,6.324707
60,1.265555,3.794982,6.324745
70,1.265783,3.795058,6.32479
80,1.266046,3.795146,6.324843
90,1.266344,3.795245,6.324903
100,1.266676,3.795356,6.324969
110,1.267044,3.795479,6.325043
120,1.267447,3.795613,6.325124
130,1.267884,3.795759,6.325212
140,1.268357,3.795917,6.325306
150,1.268864,3.796086,6.325408
160,1.269405,3.796268,6.325517
170,1.269982,3.796461,6.325633
180,1.270593,3.796665,6.325755
190,1.271239,3.796881,6.325885
200,1.27192,3.797109,6.326022
210,1.272635,3.797348,6.326166
220,1.273384,3.797599,6.326316
230,1.274168,3.797862,6.326474
240,1.274985,3.798137,6.326639
250,1.275838,3.798424,6.326811
260,1.276724,3.798722,6.32699
270,1.277645,3.799031,6.327176
280,1.2786,3.799352,6.327368
290,1.279588,3.799685,6.327568
300,1.280611,3.800029,6.327775
310,1.281667,3.800385,6.327989
320,1.282757,3.800753,6.328209
330,1.28388,3.801132,6.328437
340,1.285038,3.801523,6.328672
350,1.286228,3.801926,6.328914
360,1.287452,3.80234,6.329163
370,1.28871,3.802766,6.329418
380,1.29,3.803204,6.329681
390,1.291323,3.803653,6.329951
400,1.29268,3.804113,6.330228
410,1.294069,3.804586,6.330513
420,1.295491,3.80507,6.330803
430,1.296946,3.805565,6.331101
440,1.298433,3.806072,6.331407
450,1.299953,3.806591,6.331718
460,1.301505,3.807121,6.332037
470,1.303089,3.807663,6.332363
480,1.304706,3.808217,6.332695
490,1.306354,3.808782,6.333035
500,1.308034,3.809358,6.333382
510,1.309746,3.809946,6.333735
520,1.311489,3.810546,6.334096
530,1.313264,3.811157,6.334464
540,1.31507,3.81178,6.334838
550,1.316908,3.812414,6.33522
560,1.318776,3.81306,6.335609
570,1.320676,3.813717,6.336005
580,1.322606,3.814386,6.336407
590,1.324567,3.815067,6.336817
600,1.326559,3.815759,6.337234
610,1.328581,3.816462,6.337657
620,1.330633,3.817177,6.338088
630,1.332715,3.817904,6.338525
640,1.334828,3.818641,6.33897
650,1.33697,3.819391,6.339421
660,1.339142,3.820152,6.33988
670,1.341343,3.820924,6.340345
680,1.343574,3.821707,6.340817
690,1.345834,3.822503,6.341296
700,1.348123,3.823309,6.341783
710,1.350441,3.824127,6.342276
720,1.352789,3.824956,6.342776
730,1.355164,3.825798,6.343283
740,1.357569,3.82665,6.343797
750,1.360001,3.827514,6.344318
760,1.362462,3.828389,6.344846
770,1.364951,3.829275,6.345381
780,1.367468,3.830173,6.345923
790,1.370012,3.831082,6.346472
800,1.372585,3.832003,6.347027
810,1.375184,3.832935,6.34759
820,1.377811,3.833879,6.34816
830,1.380465,3.834833,6.348736
840,1.383146,3.835799,6.34932
850,1.385854,3.836776,6.349911
860,1.388589,3.837765,6.350508
870,1.39135,3.838765,6.351113
880,1.394138,3.839776,6.351724
890,1.396951,3.840798,6.352342
900,1.399791,3.841832,6.352967
910,1.402656,3.842877,6.353599
920,1.405548,3.843933,6.354238
930,1.408465,3.845001,6.354884
940,1.411407,3.84608,6.355536
950,1.414374,3.84717,6.356196
960,1.417367,3.848271,6.356863
970,1.420384,3.849383,6.357536
980,1.423427,3.850507,6.358217
990,1.426494,3.851641,6.358904
1000,1.429585,3.852787,6.359598
1010,1.432701,3.853945,6.360299
1020,1.435841,3.855113,6.361007
1030,1.439004,3.856292,6.361722
1040,1.442192,3.857483,6.362444
1050,1.445403,3.858685,6.363173
1060,1.448638,3.859897,6.363908
1070,1.451896,3.861121,6.364651
1080,1.455178,3.862357,6.3654
1090,1.458482,3.863603,6.366157
1100,1.461809,3.86486,6.36692
1110,1.465159,3.866128,6.36769
1120,1.468532,3.867408,6.368466
1130,1.471927,3.868698,6.36925
1140,1.475344,3.87,6.37004
1150,1.478783,3.871312,6.370838
1160,1.482244,3.872636,6.371642
1170,1.485728,3.87397,6.372453
1180,1.489232,3.875316,6.373271
1190,1.492759,3.876672,6.374095
1200,1.496306,3.87804,6.374927
1210,1.499875,3.879418,6.375766
1220,1.503465,3.880808,6.376612
1230,1.507075,3.882208,6.377464
1240,1.510707,3.883619,6.378324
1250,1.514359,3.885041,6.379189
1260,1.518031,3.886474,6.380062
1270,1.521724,3.887918,6.380942
1280,1.525437,3.889373,6.381828
1290,1.52917,3.890838,6.382721
1300,1.532923,3.892315,6.383621
1310,1.536695,3.893802,6.384528
1320,1.540487,3.8953,6.385442
1330,1.544298,3.896809,6.386364
1340,1.548129,3.898328,6.387291
1350,1.551979,3.899858,6.388226
1360,1.555848,3.9014,6.389167
1370,1.559736,3.902952,6.390114
1380,1.563642,3.904515,6.391069
1390,1.567567,3.906089,6.39203
1400,1.57151,3.907673,6.392998
1410,1.575472,3.909268,6.393973
1420,1.579452,3.910873,6.394955
1430,1.583449,3.91249,6.395944
1440,1.587465,3.914117,6.396939
1450,1.591499,3.915755,6.397941
1460,1.59555,3.917403,6.39895
1470,1.599618,3.919062,6.399966
1480,1.603704,3.920731,6.400988
1490,1.607807,3.922411,6.402018
1500,1.611928,3.924102,6.403053
1510,1.616065,3.925803,6.404096
1520,1.620219,3.927515,6.405145
1530,1.624389,3.929237,6.406201
1540,1.628576,3.93097,6.407265
1550,1.63278,3.932714,6.408334
1560,1.637,3.934468,6.409411
1570,1.641236,3.936232,6.410494
1580,1.645488,3.938007,6.411584
1590,1.649756,3.939792,6.412681
1600,1.65404,3.941588,6.413785
1610,1.65834,3.943394,6.414895
1620,1.662655,3.945211,6.416011
1630,1.666986,3.947038,6.417135
1640,1.671332,3.948875,6.418265
1650,1.675693,3.950723,6.419402
1660,1.680069,3.952581,6.420546
1670,1.68446,3.95445,6.421696
1680,1.688866,3.956329,6.422853
1690,1.693287,3.958218,6.424017
1700,1.697722,3.960118,6.425188
1710,1.702172,3.962028,6.426365
1720,1.706637,3.963948,6.427549
1730,1.711115,3.965878,6.42874
1740,1.715608,3.967818,6.429937
1750,1.720115,3.969769,6.431141
1760,1.724636,3.97173,6.432352
1770,1.72917,3.973701,6.433569
1780,1.733719,3.975682,6.434793
1790,1.738281,3.977674,6.436024
1800,1.742856,3.979676,6.437261
1810,1.747445,3.981688,6.438505
1820,1.752047,3.98371,6.439756
1830,1.756662,3.985742,6.441013
1840,1.761291,3.987784,6.442277
1850,1.765932,3.989836,6.443548
1860,1.770587,3.991898,6.444825
1870,1.775254,3.99397,6.446109
1880,1.779934,3.996053,6.447399
1890,1.784626,3.998146,6.448696
1900,1.789331,4.000248,6.45
1910,1.794048,4.00236,6.45131
1920,1.798778,4.004483,6.452627
1930,1.80352,4.006615,6.45395
1940,1.808274,4.008757,6.455281
1950,1.813039,4.010909,6.456617
1960,1.817817,4.013071,6.457961
1970,1.822607,4.015243,6.459311
1980,1.827408,4.017425,6.460667
1990,1.832221,4.019616,6.46203
2000,1.837046,4.021818,6.463399
2010,1.841882,4.024029,6.464776
2020,1.846729,4.02625,6.466158
2030,1.851588,4.028481,6.467548
2040,1.856457,4.030722,6.468944
2050,1.861338,4.032972,6.470346
2060,1.86623,4.035233,6.471756
2070,1.871133,4.037502,6.473171
2080,1.876047,4.039782,6.474593
2090,1.880971,4.042071,6.476021
2100,1.885906,4.04437,6.477457
2110,1.890851,4.046678,6.478898
2120,1.895808,4.048996,6.480346
2130,1.900774,4.051324,6.481801
2140,1.905751,4.053662,6.483263
2150,1.910738,4.056009,6.48473
2160,1.915735,4.058366,6.486205
2170,1.920743,4.060732,6.487685
2180,1.92576,4.063108,6.489172
2190,1.930788,4.065493,6.490666
2200,1.935825,4.067888,6.492167
2210,1.940872,4.070292,6.493673
2220,1.945929,4.072705,6.495186
2230,1.950995,4.075129,6.496706
