interp_r,interp_d,interp_mp1,interp_mp2
0,1.331514,3.994544,6.657572
10,1.331541,3.994564,6.657591
20,1.331592,3.99459,6.657614
30,1.331674,3.994624,6.65764
40,1.331791,3.994666,6.657671
50,1.331942,3.994717,6.657707
60,1.332124,3.994777,6.657748
70,1.332341,3.994848,6.657793
80,1.33259,3.994929,6.657844
90,1.332873,3.995022,6.6579
100,1.333191,3.995128,6.657962
110,1.333539,3.995245,6.658031
120,1.333923,3.995374,6.658105
130,1.334337,3.995515,6.658187
140,1.334788,3.995666,6.658275
150,1.335268,3.995827,6.65837
160,1.335782,3.995998,6.658473
170,1.336332,3.996179,6.658584
180,1.336912,3.996372,6.658701
190,1.337525,3.996578,6.658825
200,1.338171,3.996796,6.658957
210,1.338853,3.997024,6.659095
220,1.339565,3.997262,6.659241
230,1.340309,3.99751,6.659392
240,1.341087,3.997769,6.659549
250,1.341897,3.998041,6.659712
260,1.34274,3.998325,6.659881
270,1.343615,3.998621,6.660055
280,1.344522,3.998928,6.660236
290,1.345463,3.999246,6.660424
300,1.346436,3.999573,6.660619
310,1.34744,3.99991,6.660822
320,1.348477,4.000257,6.661034
330,1.349545,4.000617,6.661252
340,1.350647,4.000989,6.661476
350,1.351779,4.001374,6.661706
360,1.352944,4.001769,6.661942
370,1.35414,4.002172,6.662184
380,1.355368,4.002586,6.662432
390,1.356628,4.003012,6.662687
400,1.357919,4.00345,6.662949
410,1.359242,4.003901,6.663218
420,1.360596,4.004363,6.663494
430,1.361981,4.004834,6.663778
440,1.363397,4.005314,6.664069
450,1.364844,4.005805,6.664367
460,1.366323,4.006307,6.664672
470,1.367832,4.006821,6.664984
480,1.369372,4.007347,6.665302
490,1.370943,4.007885,6.665626
500,1.372544,4.008435,6.665956
510,1.374176,4.008996,6.66629
520,1.375836,4.009565,6.666631
530,1.377529,4.010145,6.666978
540,1.379252,4.010735,6.667333
550,1.381003,4.011337,6.667695
560,1.382785,4.01195,6.668065
570,1.384596,4.012575,6.668442
580,1.386437,4.01321,6.668827
590,1.388308,4.013856,6.669218
600,1.390209,4.014514,6.669615
610,1.392138,4.015184,6.670017
620,1.394096,4.015866,6.670424
630,1.396084,4.016558,6.670837
640,1.398101,4.01726,6.671258
650,1.400146,4.017972,6.671686
660,1.40222,4.018694,6.672122
670,1.404323,4.019428,6.672566
680,1.406453,4.020173,6.673017
690,1.408614,4.020928,6.673474
700,1.410802,4.021695,6.673938
710,1.413016,4.022473,6.674407
720,1.415259,4.023261,6.674881
730,1.41753,4.02406,6.675362
740,1.419828,4.02487,6.675848
750,1.422155,4.025692,6.676341
760,1.424508,4.026525,6.676841
770,1.426889,4.027368,6.677348
780,1.429296,4.028221,6.677861
790,1.431732,4.029085,6.678382
800,1.434193,4.029959,6.678911
810,1.436681,4.030844,6.679447
820,1.439195,4.031741,6.679991
830,1.441736,4.032649,6.680541
840,1.444304,4.033567,6.681097
