interp_r,interp_d,interp_mp1,interp_mp2
0,3.548134,10.6444,17.74067
10,3.548139,10.6444,17.74067
20,3.548157,10.64441,17.74067
30,3.548187,10.64442,17.74068
40,3.54823,10.64443,17.74069
50,3.548285,10.64445,17.7407
60,3.548352,10.64447,17.74071
70,3.548431,10.6445,17.74072
80,3.548528,10.64453,17.74074
90,3.548632,10.64456,17.74076
100,3.548748,10.6446,17.74078
110,3.548876,10.64464,17.74081
120,3.549016,10.64469,17.74084
130,3.549169,10.64474,17.74087
140,3.549334,10.64479,17.7409
150,3.549512,10.64485,17.74093
160,3.549702,10.64492,17.74097
170,3.549904,10.64499,17.74101
180,3.550119,10.64506,17.74105
190,3.550351,10.64513,17.7411
200,3.550589,10.64521,17.74115
210,3.550839,10.64529,17.7412
220,3.551103,10.64539,17.74125
230,3.551378,10.64548,17.7413
240,3.551666,10.64558,17.74136
250,3.551966,10.64569,17.74142
260,3.552279,10.64579,17.74149
270,3.552603,10.6459,17.74155
280,3.55294,10.64601,17.74162
290,3.553289,10.64612,17.74169
300,3.553651,10.64624,17.74176
310,3.554024,10.64637,17.74183
320,3.55441,10.64649,17.74191
330,3.554808,10.64663,17.74199
340,3.555218,10.64676,17.74207
350,3.555641,10.6469,17.74216
360,3.556076,10.64705,17.74225
370,3.556523,10.6472,17.74234
380,3.556982,10.64735,17.74244
390,3.557453,10.64751,17.74254
400,3.557937,10.64767,17.74264
410,3.558433,10.64783,17.74274
420,3.55894,10.648,17.74284
430,3.559461,10.64818,17.74295
440,3.559993,10.64835,17.74305
450,3.560537,10.64854,17.74316
460,3.561094,10.64872,17.74327
470,3.561662,10.64891,17.74338
480,3.562243,10.64911,17.7435
490,3.562836,10.6493,17.74362
500,3.563441,10.64951,17.74374
510,3.564058,10.64971,17.74386
520,3.564687,10.64992,17.74399
530,3.565329,10.65014,17.74411
540,3.565985,10.65036,17.74424
550,3.566651,10.65058,17.74438
560,3.567329,10.65082,17.74451
570,3.56802,10.65105,17.74465
580,3.568722,10.65129,17.74479
590,3.569431,10.65153,17.74494
600,3.570157,10.65177,17.74508
610,3.570896,10.65201,17.74523
620,3.571646,10.65226,17.74538
630,3.572408,10.65252,17.74553
640,3.573183,10.65278,17.74569
650,3.57397,10.65304,17.74585
660,3.574765,10.65331,17.74601
670,3.575575,10.65358,17.74617
680,3.576398,10.65386,17.74633
690,3.577232,10.65413,17.7465
700,3.578079,10.65442,17.74667
710,3.578938,10.65471,17.74684
720,3.579806,10.655,17.74702
730,3.580688,10.65529,17.7472
740,3.581582,10.65559,17.74738
750,3.582488,10.6559,17.74756
760,3.583405,10.65621,17.74774
770,3.584334,10.65652,17.74793
780,3.585279,10.65684,17.74812
790,3.586234,10.65716,17.74832
800,3.587195,10.65748,17.74851
810,3.588173,10.65781,17.74871
820,3.589164,10.65814,17.74891
830,3.590162,10.65848,17.74911
840,3.591176,10.65882,17.74932
850,3.592202,10.65916,17.74952
860,3.593236,10.65951,17.74973
870,3.594285,10.65987,17.74994
880,3.595346,10.66022,17.75015
890,3.596417,10.66059,17.75037
900,3.597501,10.66095,17.75059
910,3.598597,10.66132,17.75082
920,3.599703,10.6617,17.75105
930,3.600822,10.66207,17.75128
940,3.601952,10.66245,17.75152
950,3.603095,10.66284,17.75175
960,3.604249,10.66323,17.75199
970,3.605417,10.66362,17.75222
980,3.606598,10.66402,17.75246
990,3.607783,10.66442,17.7527
1000,3.608987,10.66483,17.75294
1010,3.610196,10.66524,17.75319
1020,3.611423,10.66566,17.75344
1030,3.612656,10.66607,17.75369
1040,3.613903,10.6665,17.75394
1050,3.615163,10.66692,17.7542
1060,3.616433,10.66735,17.75445
1070,3.617716,10.66779,17.75471
1080,3.619009,10.66823,17.75498
1090,3.620315,10.66867,17.75524
1100,3.621632,10.66912,17.75551
1110,3.62296,10.66957,17.75578
1120,3.624304,10.67002,17.75606
1130,3.625653,10.67048,17.75633
1140,3.627015,10.67095,17.75661
1150,3.628392,10.67141,17.75689
1160,3.629776,10.67188,17.75717
1170,3.631173,10.67236,17.75746
1180,3.632584,10.67284,17.75775
1190,3.634004,10.67332,17.75804
1200,3.635435,10.67381,17.75833
1210,3.636878,10.6743,17.75863
1220,3.638333,10.6748,17.75892
1230,3.639798,10.6753,17.75922
1240,3.641278,10.6758,17.75952
1250,3.642766,10.67631,17.75983
1260,3.644265,10.67682,17.76014
1270,3.64578,10.67734,17.76045
1280,3.647301,10.67786,17.76076
1290,3.648835,10.67838,17.76107
1300,3.650379,10.67891,17.76139
1310,3.651936,10.67944,17.76171
1320,3.653503,10.67998,17.76204
1330,3.655082,10.68052,17.76236
1340,3.656673,10.68106,17.76269
1350,3.658274,10.68161,17.76302
1360,3.659887,10.68216,17.76335
1370,3.661516,10.68272,17.76368
1380,3.663151,10.68328,17.76402
1390,3.664797,10.68385,17.76436
1400,3.66645,10.68441,17.7647
1410,3.668118,10.68499,17.76504
1420,3.669798,10.68556,17.76539
1430,3.671489,10.68614,17.76574
1440,3.673191,10.68673,17.76609
1450,3.674903,10.68732,17.76645
1460,3.676628,10.68791,17.7668
1470,3.678365,10.68851,17.76716
1480,3.680112,10.68911,17.76752
1490,3.681869,10.68971,17.76789
1500,3.683634,10.69032,17.76825
1510,3.685413,10.69094,17.76862
1520,3.687203,10.69155,17.76899
1530,3.689004,10.69217,17.76937
1540,3.690816,10.6928,17.76974
1550,3.692637,10.69343,17.77012
1560,3.694473,10.69406,17.7705
1570,3.696319,10.6947,17.77089
1580,3.698171,10.69534,17.77127
1590,3.700038,10.69599,17.77166
1600,3.701916,10.69664,17.77205
1610,3.703802,10.69729,17.77244
1620,3.705701,10.69795,17.77284
1630,3.70761,10.69862,17.77324
1640,3.709529,10.69928,17.77364
1650,3.711464,10.69995,17.77404
1660,3.713402,10.70063,17.77445
1670,3.715356,10.7013,17.77485
1680,3.717317,10.70199,17.77526
1690,3.719292,10.70267,17.77568
1700,3.721275,10.70336,17.77609
1710,3.72327,10.70406,17.77651
1720,3.725275,10.70476,17.77693
1730,3.727291,10.70546,17.77735
1740,3.729319,10.70617,17.77778
1750,3.73136,10.70687,17.7782
1760,3.733405,10.70758,17.77863
1770,3.735462,10.70829,17.77907
1780,3.737534,10.70901,17.7795
1790,3.739612,10.70974,17.77994
1800,3.7417,10.71047,17.78038
1810,3.743805,10.71121,17.78082
1820,3.745913,10.71194,17.78127
1830,3.748033,10.71269,17.78171
1840,3.750164,10.71343,17.78216
1850,3.75231,10.71418,17.78261
1860,3.754461,10.71494,17.78307
1870,3.756623,10.7157,17.78353
1880,3.758795,10.71646,17.78399
1890,3.760977,10.71722,17.78445
1900,3.76317,10.71799,17.78491
1910,3.76538,10.71877,17.78538
1920,3.767593,10.71955,17.78584
1930,3.769817,10.72033,17.78632
1940,3.772052,10.72112,17.78679
1950,3.774296,10.72191,17.78727
1960,3.776551,10.7227,17.78774
1970,3.778817,10.7235,17.78823
1980,3.781092,10.72429,17.78871
1990,3.783378,10.7251,17.7892
2000,3.785675,10.72591,17.78968
2010,3.787981,10.72673,17.79017
2020,3.790298,10.72755,17.79067
2030,3.792624,10.72837,17.79116
2040,3.794955,10.72919,17.79166
2050,3.797302,10.73002,17.79216
2060,3.799659,10.73086,17.79267
2070,3.802026,10.7317,17.79317
2080,3.804403,10.73254,17.79368
2090,3.806785,10.73339,17.79419
2100,3.809182,10.73424,17.7947
2110,3.81159,10.73509,17.79522
2120,3.814008,10.73595,17.79573
2130,3.816429,10.73681,17.79626
2140,3.818866,10.73768,17.79678
2150,3.821314,10.73855,17.7973
2160,3.823765,10.73942,17.79783
2170,3.826232,10.7403,17.79836
2180,3.82871,10.74118,17.79889
2190,3.831191,10.74206,17.79943
2200,3.833688,10.74295,17.79996
2210,3.836187,10.74385,17.8005
2220,3.838701,10.74475,17.80105
2230,3.841224,10.74565,17.80159
2240,3.843758,10.74655,17.80214
2250,3.8463,10.74746,17.80268
2260,3.848853,10.74838,17.80324
2270,3.851415,10.74929,17.80379
2280,3.853987,10.75022,17.80435
2290,3.856568,10.75114,17.80491
2300,3.859158,10.75207,17.80547
2310,3.861758,10.753,17.80603
2320,3.864368,10.75394,17.8066
2330,3.866988,10.75489,17.80717
2340,3.869617,10.75584,17.80774
2350,3.872255,10.75679,17.80831
2360,3.874902,10.75775,17.80889
2370,3.877559,10.7587,17.80947
2380,3.880226,10.75966,17.81005
2390,3.882902,10.76062,17.81063
