interp_r,interp_d,interp_mp1,interp_mp2,interp_mp3
0,3.4951,10.74191,18.20541,56.54428
10,3.495108,10.7452,18.04314,32.54422
20,3.495127,10.74521,17.9936,25.2437
30,3.495158,10.74437,17.99757,25.26691
40,3.495202,10.74438,18.00248,25.24286
50,3.495259,10.7444,17.99448,25.25173
60,3.495328,10.74442,17.9976,25.25844
70,3.49541,10.74445,17.99366,25.24685
80,3.495504,10.74448,17.99452,25.25176
90,3.495611,10.74452,17.9937,25.24376
100,3.495731,10.74455,17.99457,25.24689
110,3.495862,10.7446,17.99375,25.2438
120,3.496007,10.74464,17.99377,25.24693
130,3.496164,10.74469,17.99465,25.24299
140,3.496334,10.74475,17.99384,25.24387
150,3.496516,10.74481,17.99472,25.24304
160,3.496711,10.74487,17.99391,25.24392
170,3.496919,10.74494,17.99395,25.2431
180,3.497139,10.74501,17.99399,25.24398
190,3.497371,10.74509,17.99404,25.24316
200,3.497617,10.74517,17.99409,25.24404
210,3.497874,10.74525,17.99414,25.24408
220,3.498144,10.74534,17.99504,25.24327
230,3.498427,10.74543,17.99424,25.24415
240,3.498722,10.74553,17.9943,25.24335
250,3.49903,10.74563,17.99436,25.24424
260,3.49935,10.74573,17.99442,25.24343
270,3.499683,10.74584,17.99449,25.24433
280,3.500029,10.74595,17.99455,25.24353
290,3.500386,10.74607,17.99462,25.24443
300,3.500757,10.74619,17.9947,25.24363
310,3.50114,10.74631,17.99477,25.24368
320,3.501535,10.74644,17.99485,25.24374
330,3.501943,10.74657,17.99493,25.24379
340,3.502364,10.74671,17.99501,25.24385
350,3.502797,10.74685,17.99509,25.24391
360,3.503242,10.747,17.99518,25.24482
370,3.5037,10.74715,17.99527,25.24404
380,3.504171,10.7473,17.99536,25.24495
390,3.504654,10.74746,17.99545,25.24417
400,3.505149,10.74762,17.99555,25.24424
410,3.505657,10.74778,17.99565,25.24431
420,3.506177,10.74795,17.99575,25.24438
430,3.506711,10.74813,17.99585,25.24445
440,3.507255,10.7483,17.99596,25.24453
450,3.507813,10.74849,17.99607,25.24461
460,3.508383,10.74867,17.99618,25.24468
470,3.508966,10.74886,17.99629,25.24477
480,3.509561,10.74906,17.99641,25.24485
490,3.510168,10.74925,17.99653,25.24493
500,3.510788,10.74946,17.99665,25.24502
510,3.51142,10.74966,17.99677,25.24511
520,3.512065,10.74987,17.9969,25.2452
530,3.512722,10.75009,17.99702,25.24529
540,3.513392,10.75031,17.99715,25.24538
550,3.514074,10.75053,17.99729,25.24548
560,3.514767,10.75076,17.99742,25.24557
570,3.515474,10.75099,17.99756,25.24567
580,3.516193,10.75122,17.9977,25.24577
590,3.516925,10.75146,17.99784,25.24587
600,3.517668,10.7517,17.99799,25.24598
610,3.518424,10.75195,17.99814,25.24608
620,3.519192,10.7522,17.99829,25.24619
630,3.519973,10.75246,17.99844,25.2463
640,3.520766,10.75272,17.99859,25.24641
650,3.521571,10.75298,17.99875,25.24652
660,3.522389,10.75325,17.99891,25.24663
670,3.523219,10.75352,17.99907,25.24675
680,3.524061,10.75379,17.99924,25.24687
690,3.524915,10.75407,17.9994,25.24698
700,3.525782,10.75436,17.99957,25.2471
710,3.52666,10.75464,17.99975,25.24723
720,3.527552,10.75494,17.99992,25.24735
730,3.528455,10.75523,18.0001,25.24748
740,3.529371,10.75553,18.00028,25.24761
750,3.530298,10.75584,18.00046,25.24774
760,3.531239,10.75614,18.00064,25.24787
770,3.532191,10.75646,18.00083,25.248
780,3.533155,10.75677,18.00102,25.24813
790,3.534132,10.75709,18.00121,25.24827
800,3.53512,10.75742,18.0014,25.24841
810,3.536121,10.75775,18.0016,25.24855
820,3.537134,10.75808,18.0018,25.24869
830,3.538159,10.75842,18.002,25.24883
840,3.539196,10.75876,18.0022,25.24898
850,3.540246,10.7591,18.00241,25.24912
860,3.541307,10.75945,18.00262,25.24928
870,3.542381,10.7598,18.00283,25.24943
880,3.543467,10.76016,18.00304,25.24958
890,3.544564,10.76052,18.00326,25.24973
900,3.545675,10.76089,18.00348,25.24989
910,3.546796,10.76126,18.0037,25.25004
920,3.54793,10.76163,18.00392,25.25021
930,3.549076,10.76201,18.00414,25.25037
940,3.550234,10.76239,18.00437,25.25053
950,3.551404,10.76277,18.0046,25.25069
960,3.552586,10.76316,18.00484,25.25086
970,3.55378,10.76356,18.00507,25.25103
980,3.554985,10.76396,18.00531,25.2512
990,3.556203,10.76436,18.00555,25.25137
1000,3.557433,10.76476,18.00579,25.25154
1010,3.558674,10.76517,18.00604,25.25172
1020,3.559928,10.76559,18.00628,25.25189
1030,3.561193,10.766,18.00653,25.25207
1040,3.562471,10.76643,18.00679,25.25225
1050,3.56376,10.76685,18.00704,25.25243
1060,3.565061,10.76728,18.0073,25.25261
1070,3.566374,10.76772,18.00756,25.2528
1080,3.567699,10.76816,18.00782,25.25299
1090,3.569036,10.7686,18.00808,25.25317
1100,3.570384,10.76904,18.00835,25.25337
1110,3.571744,10.7695,18.00862,25.25356
1120,3.573117,10.76995,18.00889,25.25375
1130,3.5745,10.77041,18.00917,25.25394
1140,3.575895,10.77087,18.00945,25.25414
1150,3.577302,10.77134,18.00972,25.25434
1160,3.578722,10.77181,18.01,25.25454
1170,3.580153,10.77228,18.01029,25.25475
1180,3.581595,10.77276,18.01057,25.25495
1190,3.583049,10.77325,18.01086,25.25516
1200,3.584515,10.77373,18.01115,25.25536
1210,3.585992,10.77422,18.01145,25.25557
1220,3.587482,10.77472,18.01175,25.25578
1230,3.588982,10.77522,18.01204,25.256
1240,3.590495,10.77572,18.01234,25.25621
1250,3.592019,10.77623,18.01265,25.25643
1260,3.593554,10.77674,18.01295,25.25665
1270,3.595101,10.77726,18.01326,25.25686
1280,3.59666,10.77777,18.01357,25.25709
1290,3.59823,10.7783,18.01389,25.25731
1300,3.599811,10.77883,18.0142,25.25754
1310,3.601405,10.77936,18.01452,25.25776
1320,3.60301,10.77989,18.01484,25.25799
1330,3.604626,10.78043,18.01516,25.25822
1340,3.606254,10.78098,18.01549,25.25846
1350,3.607893,10.78152,18.01581,25.25869
1360,3.609543,10.78208,18.01614,25.25892
1370,3.611205,10.78263,18.01648,25.25916
1380,3.612878,10.78319,18.01681,25.2594
1390,3.614563,10.78376,18.01715,25.25964
1400,3.616259,10.78432,18.01749,25.25988
1410,3.617967,10.7849,18.01783,25.26013
1420,3.619686,10.78547,18.01818,25.26037
1430,3.621416,10.78605,18.01852,25.26062
1440,3.623157,10.78664,18.01887,25.26087
1450,3.62491,10.78722,18.01923,25.26112
1460,3.626674,10.78782,18.01958,25.26137
1470,3.628449,10.78841,18.01994,25.26163
1480,3.630236,10.78901,18.0203,25.26188
1490,3.632033,10.78962,18.02066,25.26214
1500,3.633842,10.79023,18.02102,25.2624
1510,3.635663,10.79084,18.02139,25.26266
1520,3.637494,10.79145,18.02176,25.26292
1530,3.639336,10.79208,18.02213,25.26319
1540,3.64119,10.7927,18.0225,25.26346
1550,3.643054,10.79333,18.02288,25.26373
1560,3.64493,10.79396,18.02326,25.264
1570,3.646817,10.7946,18.02364,25.26427
1580,3.648715,10.79524,18.02402,25.26454
1590,3.650624,10.79588,18.02441,25.26481
1600,3.652544,10.79653,18.0248,25.26509
1610,3.654476,10.79718,18.02519,25.26537
1620,3.656418,10.79784,18.02558,25.26565
1630,3.658371,10.7985,18.02598,25.26593
1640,3.660335,10.79917,18.02638,25.26622
1650,3.66231,10.79984,18.02678,25.2665
1660,3.664296,10.80051,18.02718,25.26679
1670,3.666292,10.80118,18.02759,25.26708
1680,3.6683,10.80187,18.02799,25.26737
1690,3.670319,10.80255,18.0284,25.26767
1700,3.672348,10.80324,18.02882,25.26796
1710,3.674388,10.80393,18.02923,25.26825
1720,3.67644,10.80463,18.02965,25.26855
1730,3.678502,10.80533,18.03007,25.26885
1740,3.680574,10.80604,18.03049,25.26915
1750,3.682658,10.80674,18.03092,25.26946
1760,3.684752,10.80746,18.03134,25.26976
1770,3.686857,10.80817,18.03177,25.27007
1780,3.688973,10.8089,18.03221,25.27038
1790,3.691099,10.80962,18.03264,25.27069
1800,3.693237,10.81035,18.03308,25.271
1810,3.695384,10.81108,18.03352,25.27131
1820,3.697542,10.81182,18.03396,25.27163
1830,3.699711,10.81256,18.0344,25.27194
1840,3.701891,10.81331,18.03485,25.27226
1850,3.704081,10.81405,18.0353,25.27258
1860,3.706282,10.81481,18.03575,25.27291
